Latente_1,Latente_2,Ano,UF
1.3884324,0.959369,2013,PA
1.6720207,1.2784747,2013,MG
1.3687658,1.6979474,2013,RS
0.95974904,0.8568492,2013,RR
0.7574838,0.5942474,2013,MS
1.5639251,0.9133294,2013,DF
0.85996944,1.0930722,2013,MT
1.1210437,0.5753605,2013,GO
1.1787143,1.2627777,2013,MS
0.5608805,1.3271044,2013,MS
1.164631,0.76501495,2013,MT
1.8689246,0.91058654,2013,PR
1.3405873,0.8342823,2013,MG
1.069467,0.81611645,2013,PE
1.7602383,1.3159955,2013,SC
1.6244605,1.220789,2013,CE
1.6105515,0.59822226,2013,PR
1.4865396,0.8237837,2013,GO
1.3679775,0.95610327,2013,RS
1.0715067,1.0676056,2013,SP
0.7045659,1.1158267,2013,PE
0.65295243,0.1858582,2013,CE
1.560131,1.2432649,2013,PB
0.87556523,0.60398954,2013,BA
0.9489652,0.353379,2013,AP
1.4793873,0.6014184,2013,AL
1.6026822,0.40944904,2013,AM
0.560852,0.62675947,2013,AL
0.35982716,0.7032751,2013,BA
0.57133615,0.22459288,2013,BA
0.32409635,0.28226763,2013,TO
1.5170443,0.51377165,2013,RN
0.5763707,0.77573085,2013,CE
1.0145804,0.62290215,2013,MG
1.3146532,0.6790059,2013,TO
1.2804711,0.8345025,2013,PR
0.6353512,0.8250718,2013,RJ
0.5716186,0.87398213,2013,AM
0.6658044,1.1982818,2013,PI
1.0709801,0.5939274,2013,RJ
0.8744761,0.9420373,2013,GO
1.7918452,1.0310961,2013,RS
1.1772213,0.0,2013,BA
0.8024297,0.5613186,2013,RO
1.8008478,1.57719,2013,PE
1.0387195,0.6102071,2013,AC
1.8402013,0.9667302,2013,RJ
1.7158121,0.8575559,2013,BA
0.54766047,0.7524664,2013,PA
0.30674124,2.0059018,2013,SC
1.3155184,0.54481685,2013,MA
2.005229,1.5386325,2013,SP
0.5406249,0.5267991,2013,PI
1.0372356,0.6457664,2013,PI
0.8022134,0.52106667,2013,RN
0.81227076,0.7726653,2013,MG
1.4445356,1.2200847,2013,ES
0.62371886,0.972804,2014,GO
1.2749978,0.6613197,2014,RJ
1.5402923,1.2176213,2014,SE
0.6287525,0.9037979,2014,CE
1.1191114,0.14491406,2014,RJ
1.6282142,1.0044093,2014,SC
0.43661743,0.8316885,2014,AM
0.8178004,0.770892,2014,MA
1.1962156,0.6355592,2014,PA
1.929396,1.1262913,2014,MG
1.4751849,1.5862175,2014,RS
1.1479771,0.7149042,2014,RR
1.0174681,0.273933,2014,MS
1.731446,1.0071619,2014,DF
0.8653032,1.0173326,2014,MT
0.9928304,0.4837172,2014,GO
1.7311261,1.1301857,2014,MS
1.0132822,0.8563267,2014,MS
1.3405952,0.91833866,2014,MT
1.9691203,0.7733889,2014,PR
1.1829407,1.1500772,2014,MG
1.1672592,0.8650895,2014,PE
1.915796,1.3296238,2014,SC
1.7836993,0.6748408,2014,CE
1.7762189,0.5136625,2014,PR
1.5753849,0.8651413,2014,GO
1.589968,1.24227,2014,RS
1.4841253,0.82621,2014,SP
0.72237116,0.69952685,2014,PE
0.6936277,0.14510871,2014,CE
1.5883554,0.943128,2014,PB
1.037885,0.8454809,2014,BA
0.75037575,0.40897256,2014,AP
1.6396081,0.73390883,2014,AL
1.5807365,0.44004834,2014,AM
0.6717987,0.18960214,2014,AL
0.27808842,0.47490317,2014,BA
0.89216787,0.4517668,2014,BA
0.0,0.26006228,2014,TO
1.7192988,0.8826226,2014,RN
0.5388409,0.7592235,2014,CE
1.1613841,0.9083513,2014,MG
1.4899948,0.5067686,2014,TO
1.3190253,0.86401707,2014,PR
0.4887323,0.68259674,2014,RJ
0.47716546,0.6477253,2014,AM
0.714777,0.6601077,2014,PI
1.3291936,0.55974776,2014,RJ
0.6755637,1.0005081,2014,GO
1.9667355,0.9795754,2014,RS
1.1337466,0.2917605,2014,BA
0.8695276,0.87673676,2014,RO
1.881171,1.1076804,2014,PE
1.2794067,0.72989094,2014,AC
2.0101583,0.9514908,2014,RJ
1.7112616,0.9184021,2014,BA
0.4683777,0.97307175,2014,PA
0.43160886,1.58618,2014,SC
1.5931715,1.4287509,2014,MA
2.1155353,1.2153007,2014,SP
0.6629602,0.9237772,2014,PI
1.058885,0.54062414,2014,PI
0.6884164,0.22465856,2014,RN
0.8583221,0.65476185,2014,MG
1.7119554,1.0103202,2014,ES
0.5962677,0.99695754,2015,GO
1.2658514,0.30638462,2015,RJ
1.5607063,1.188583,2015,SE
0.62131613,0.81086504,2015,CE
1.1684843,0.07693988,2015,RJ
1.6416095,0.92411554,2015,SC
0.36724764,0.82893574,2015,AM
0.7588076,0.71001184,2015,MA
1.1505187,0.94844115,2015,PA
2.0087187,1.0051116,2015,MG
1.5369796,1.4727936,2015,RS
1.0079807,0.72008085,2015,RR
1.0338867,0.22492163,2015,MS
1.5920025,0.879234,2015,DF
0.8639334,1.0202271,2015,MT
1.0241253,0.63192874,2015,GO
1.5562806,1.0285648,2015,MS
0.97678345,1.1873814,2015,MS
1.4027109,0.88999146,2015,MT
2.1408556,0.7951135,2015,PR
1.3402952,1.1059622,2015,MG
1.0998076,0.84872156,2015,PE
1.9183955,1.3331715,2015,SC
1.721047,0.5881449,2015,CE
1.7850088,0.6841097,2015,PR
1.5359755,0.7992672,2015,GO
1.5254521,1.15336,2015,RS
1.489568,0.8552516,2015,SP
0.8072013,0.5889944,2015,PE
0.6695018,0.0050129443,2015,CE
1.6482326,0.90780836,2015,PB
0.89880013,0.6772796,2015,BA
0.9631526,0.38931227,2015,AP
1.664419,0.76974815,2015,AL
1.5698049,0.41351074,2015,AM
0.66442055,0.15308121,2015,AL
0.18300818,0.50776505,2015,BA
0.91403323,0.28593272,2015,BA
0.0,0.19492428,2015,TO
1.8031316,0.95399797,2015,RN
0.6031367,0.7205302,2015,CE
1.2496213,0.8737846,2015,MG
1.5106552,0.47633332,2015,TO
1.3897369,0.6108622,2015,PR
0.48101166,0.6903701,2015,RJ
0.40408328,0.75754184,2015,AM
0.7049196,0.69374263,2015,PI
1.4436759,0.41786617,2015,RJ
0.7777946,0.78105,2015,GO
1.9948512,0.92756885,2015,RS
1.1337364,0.30635357,2015,BA
0.75112253,0.8905913,2015,RO
1.8559544,0.9944171,2015,PE
1.2359912,0.48896062,2015,AC
2.1440852,0.8779971,2015,RJ
1.8827025,0.9821739,2015,BA
0.44714785,0.9281296,2015,PA
0.45830074,1.4187844,2015,SC
1.594686,1.1703641,2015,MA
2.1235757,1.1551389,2015,SP
0.6525359,0.7481135,2015,PI
1.1084529,0.55722165,2015,PI
0.6823799,0.2324565,2015,RN
0.8945743,0.65162754,2015,MG
1.7408006,1.0131471,2015,ES
